fan_id,age,country,country_region,income_level,gdp_per_capita_usd,distance_to_host_city_km,nearest_host_city,nearest_host_country,favorite_team_qualified,previous_worldcup_attendance,football_engagement_score,social_media_engagement,ticket_search_count,flight_search_count,hotel_search_count,estimated_trip_cost,visa_required,days_until_match,match_importance,campaign_cost_usd,potential_net_revenue_usd,expected_value_usd,travel_probability_synthetic,will_travel
5864,55,India,Asia,Low,2400,11185.1,Vancouver,Canada,0,1,56.0,82.7,1,1,1,2712.15,1,71,Group,9.12,874.17,72.27,0.0931,0
5865,18,China,Asia,Medium,12500,9566.8,Vancouver,Canada,0,0,71.5,53.0,3,3,1,2035.84,1,230,Group,8.53,745.83,89.02,0.1308,0
5866,79,India,Asia,Low,2400,10952.9,Vancouver,Canada,1,0,30.3,0.0,1,2,1,3118.13,1,218,Round of 32,9.66,1225.97,54.09,0.052,0
5867,51,India,Asia,Low,2400,12990.7,Vancouver,Canada,1,1,54.1,60.8,1,1,1,4872.2,1,214,Final,10.58,1999.85,751.76,0.3812,1
5868,61,India,Asia,Low,2400,12307.2,Vancouver,Canada,0,0,62.3,44.2,2,1,0,2853.73,1,316,Round of 16,8.33,1159.09,134.93,0.1236,0
5869,60,China,Asia,Medium,12500,8184.4,Vancouver,Canada,0,0,51.5,37.5,3,1,0,1674.03,1,288,Round of 32,7.23,563.42,30.07,0.0662,0
5870,46,Germany,Europe,High,51500,6001.3,Boston,USA,1,0,94.6,100.0,4,3,2,1229.67,0,144,Round of 32,9.61,466.36,338.95,0.7474,1
5871,77,China,Asia,Medium,12500,10121.8,Vancouver,Canada,1,0,41.9,77.9,2,1,1,2078.88,1,20,Group,9.98,590.39,170.62,0.3059,0
5872,61,China,Asia,Medium,12500,9368.7,Vancouver,Canada,0,0,56.0,64.8,6,2,1,2083.39,1,152,Group,7.04,690.69,232.56,0.3469,1
5873,25,China,Asia,Medium,12500,9718.5,Vancouver,Canada,1,0,71.7,81.0,6,1,3,2383.6,1,291,Group,9.62,796.2,240.55,0.3142,1
5874,58,India,Asia,Low,2400,11666.1,Vancouver,Canada,0,0,60.9,78.6,5,2,0,2652.77,1,260,Group,8.01,780.88,10.81,0.0241,0
5875,55,India,Asia,Low,2400,11754.8,Vancouver,Canada,0,0,63.9,93.0,4,1,2,2597.88,1,150,Group,12.24,979.17,22.32,0.0353,0
5876,43,India,Asia,Low,2400,12254.6,Vancouver,Canada,0,0,67.1,36.6,5,0,3,3671.32,1,104,Round of 32,5.61,1076.55,93.32,0.0919,0
5877,70,China,Asia,Medium,12500,10274.1,Vancouver,Canada,1,0,75.7,71.2,4,3,1,1921.46,1,243,Round of 32,10.03,886.05,291.32,0.3401,1
5878,58,India,Asia,Low,2400,10528.8,Vancouver,Canada,0,0,35.9,0.0,1,2,1,2321.86,1,197,Group,10.31,987.16,44.08,0.0551,0
5879,45,China,Asia,Medium,12500,11387.4,Vancouver,Canada,0,0,65.6,81.0,1,1,6,2614.91,1,270,Round of 16,11.51,710.53,212.66,0.3155,0
5880,24,China,Asia,Medium,12500,8576.8,Vancouver,Canada,0,0,55.0,76.5,4,1,0,1893.44,1,33,Group,7.55,596.19,62.26,0.1171,0
5881,43,India,Asia,Low,2400,10911.9,Vancouver,Canada,0,0,40.1,21.1,3,4,0,2906.87,1,87,Group,9.41,763.07,22.18,0.0414,0
5882,78,India,Asia,Low,2400,13043.1,Vancouver,Canada,0,1,41.9,38.8,3,0,1,3028.27,1,145,Group,13.29,883.45,45.72,0.0668,0
5883,20,China,Asia,Medium,12500,10829.7,Vancouver,Canada,0,0,86.7,90.7,8,3,0,2810.99,1,20,Round of 32,6.06,731.8,213.92,0.3006,0
5884,41,China,Asia,Medium,12500,10670.1,Vancouver,Canada,1,0,51.5,100.0,2,0,3,3100.05,1,315,Quarter-final,10.15,1228.18,237.82,0.2019,0
5885,56,Brazil,South America,Medium,8900,5479.0,Miami,USA,1,1,88.1,88.0,2,0,0,1524.78,1,93,Round of 16,8.16,429.4,288.6,0.6911,1
5886,18,Switzerland,Europe,High,93500,6954.6,Boston,USA,0,0,100.0,100.0,4,2,3,1630.75,0,215,Group,11.13,548.47,360.79,0.6781,1
5887,32,United States,North America,High,76330,360.7,Kansas City,USA,1,0,79.6,53.1,1,4,4,150.0,0,32,Final,11.88,71.02,58.26,0.9876,1
5888,39,China,Asia,Medium,12500,7851.0,Vancouver,Canada,0,0,80.7,64.9,1,2,4,1573.53,1,42,Round of 16,7.92,541.29,183.05,0.3528,1
5889,18,China,Asia,Medium,12500,9481.7,Vancouver,Canada,1,0,79.5,37.3,1,3,2,2212.47,1,43,Group,9.61,515.86,62.46,0.1397,0
5890,36,China,Asia,Medium,12500,9283.2,Vancouver,Canada,0,1,80.4,78.6,3,1,0,1989.23,1,65,Round of 32,11.78,610.1,375.02,0.634,0
5891,50,China,Asia,Medium,12500,10209.0,Vancouver,Canada,1,1,72.9,83.2,3,5,3,2595.44,1,277,Quarter-final,9.09,1267.04,825.26,0.6585,0
5892,66,India,Asia,Low,2400,13105.9,Vancouver,Canada,0,0,43.9,53.8,7,2,0,3285.27,1,278,Round of 16,10.94,1654.94,58.07,0.0417,0
5893,61,China,Asia,Medium,12500,9326.6,Vancouver,Canada,1,0,44.0,27.0,1,1,3,3111.03,1,355,Final,9.75,975.42,323.94,0.3421,1
5894,35,India,Asia,Low,2400,11905.0,Vancouver,Canada,1,0,79.2,100.0,3,3,4,3166.88,1,118,Quarter-final,9.55,1166.21,141.71,0.1297,0
5895,68,Belgium,Europe,High,52000,5435.0,Boston,USA,1,1,86.8,84.7,3,1,0,809.24,0,200,Group,12.23,230.56,202.1,0.9296,0
5896,66,United States,North America,High,76330,361.4,Kansas City,USA,1,1,82.5,73.3,1,2,0,150.0,0,247,Group,6.82,44.49,37.02,0.9853,1
5897,62,Netherlands,Europe,High,58000,4845.4,Boston,USA,1,1,100.0,99.9,4,5,3,1050.95,0,85,Group,6.89,312.75,284.91,0.933,1
5898,46,United States,North America,High,76330,364.6,Kansas City,USA,1,1,83.1,90.9,4,2,1,150.0,0,31,Semi-final,6.83,66.86,58.43,0.976,1
5899,65,India,Asia,Low,2400,11808.1,Vancouver,Canada,0,0,52.0,24.7,2,4,2,2936.19,1,151,Round of 16,9.99,768.45,42.03,0.0677,0
5900,72,China,Asia,Medium,12500,9360.2,Vancouver,Canada,0,1,51.1,11.8,2,1,1,2317.74,1,273,Round of 16,6.3,895.23,439.44,0.4979,1
5901,55,China,Asia,Medium,12500,9282.8,Vancouver,Canada,0,0,56.2,24.4,1,1,2,1681.06,1,66,Round of 32,10.72,431.15,67.49,0.1814,0
5902,19,United States,North America,High,76330,367.0,Kansas City,USA,1,1,92.7,95.6,2,1,2,150.0,0,324,Group,6.54,51.25,43.64,0.9791,1
5903,65,Spain,Europe,High,31000,4897.2,Boston,USA,1,1,77.3,76.7,5,4,1,1509.19,0,13,Round of 32,5.38,365.56,303.01,0.8436,1
5904,59,Japan,Asia,High,40000,7882.6,Vancouver,Canada,1,0,93.4,100.0,0,1,5,1989.96,0,68,Round of 32,12.2,416.17,303.96,0.7597,1
5905,22,China,Asia,Medium,12500,10078.1,Vancouver,Canada,1,0,38.0,35.3,1,0,0,1910.39,1,150,Final,11.77,958.45,226.02,0.2481,0
5906,60,China,Asia,Medium,12500,9370.0,Vancouver,Canada,0,0,56.5,68.8,0,1,1,2060.4,1,352,Group,10.27,557.51,22.01,0.0579,0
5907,51,China,Asia,Medium,12500,9236.4,Vancouver,Canada,0,0,77.6,82.8,4,3,4,2267.45,1,67,Group,9.8,593.3,112.72,0.2065,1
5908,58,Germany,Europe,High,51500,4451.6,Boston,USA,1,0,100.0,100.0,7,3,2,1226.45,0,288,Group,10.14,412.15,362.03,0.903,1
5909,67,China,Asia,Medium,12500,8741.9,Vancouver,Canada,0,0,58.9,52.8,2,1,1,1901.9,1,352,Round of 16,12.69,804.54,127.46,0.1742,1
5910,32,China,Asia,Medium,12500,9282.3,Vancouver,Canada,0,0,47.4,83.4,1,2,2,2221.45,1,237,Round of 16,12.03,676.68,90.62,0.1517,0
5911,43,China,Asia,Medium,12500,7996.0,Vancouver,Canada,0,0,53.0,65.8,1,1,0,1567.19,1,252,Group,10.83,573.0,84.57,0.1665,1
5912,39,India,Asia,Low,2400,10685.5,Vancouver,Canada,0,0,52.1,35.3,4,3,1,2922.22,1,277,Round of 32,9.29,1077.96,22.29,0.0293,0
5913,63,India,Asia,Low,2400,13547.2,Vancouver,Canada,0,0,50.6,73.2,1,1,1,3069.41,1,264,Group,10.31,900.21,4.18,0.0161,0
5914,66,Egypt,Africa,Low,4000,9271.5,Boston,USA,0,0,84.2,93.7,2,1,1,2681.42,1,205,Round of 32,12.93,945.87,155.81,0.1784,0
5915,20,India,Asia,Low,2400,13298.5,Vancouver,Canada,0,0,60.5,43.8,2,1,2,3100.25,1,159,Round of 32,9.66,796.85,62.38,0.0904,0
5916,49,China,Asia,Medium,12500,10680.3,Vancouver,Canada,0,0,55.1,58.5,3,2,0,2210.01,1,9,Group,6.92,423.68,93.45,0.2369,0
5917,22,China,Asia,Medium,12500,8817.6,Vancouver,Canada,0,0,49.9,45.6,1,0,0,1835.78,1,152,Group,11.85,425.7,44.6,0.1326,0
5918,61,Germany,Europe,High,51500,5211.8,Boston,USA,1,0,87.4,63.8,2,5,2,1618.57,0,45,Final,9.74,943.87,787.08,0.8442,1
5919,58,India,Asia,Low,2400,10145.3,Vancouver,Canada,0,0,48.5,32.4,3,0,1,2317.4,1,193,Round of 16,11.17,904.54,226.9,0.2632,0
5920,61,India,Asia,Low,2400,12023.2,Vancouver,Canada,0,0,47.4,81.6,2,1,2,3899.29,1,177,Semi-final,11.81,2035.98,173.87,0.0912,1
5921,62,China,Asia,Medium,12500,9283.0,Vancouver,Canada,0,0,68.0,98.3,5,4,3,2930.17,1,316,Quarter-final,10.38,1358.48,377.47,0.2855,0
5922,27,Ghana,Africa,Low,2500,7448.4,Boston,USA,0,1,69.5,79.4,6,2,4,1661.6,1,43,Group,13.36,487.36,183.87,0.4047,0
5923,76,United States,North America,High,76330,351.0,Kansas City,USA,1,0,100.0,100.0,2,2,1,150.0,0,200,Round of 16,6.08,36.52,29.66,0.9786,1
5924,44,India,Asia,Low,2400,13780.2,Vancouver,Canada,0,0,57.2,34.5,4,2,3,3449.82,1,252,Group,5.63,1019.25,21.69,0.0268,0
5925,49,France,Europe,High,44500,5481.8,Boston,USA,1,0,91.2,100.0,2,2,2,1236.95,0,126,Group,7.85,380.89,274.39,0.741,0
5926,26,India,Asia,Low,2400,10783.4,Vancouver,Canada,0,0,66.7,32.2,2,0,1,2897.22,1,58,Round of 16,9.89,1430.51,105.7,0.0808,0
5927,43,India,Asia,Low,2400,13035.8,Vancouver,Canada,0,0,70.6,25.5,3,4,1,3186.96,1,183,Round of 32,7.65,1312.82,158.95,0.1269,0
5928,45,India,Asia,Low,2400,11766.1,Vancouver,Canada,0,0,43.7,42.6,2,0,2,3126.56,1,212,Group,9.69,818.65,20.19,0.0365,0
5929,75,Switzerland,Europe,High,93500,5901.0,Boston,USA,0,0,95.9,64.2,3,2,5,1407.83,0,136,Group,8.69,383.68,297.91,0.7991,1
5930,51,China,Asia,Medium,12500,9677.5,Vancouver,Canada,1,0,50.4,93.3,4,3,0,3772.99,1,316,Group,7.95,1278.64,125.03,0.104,0
5931,54,India,Asia,Low,2400,12080.1,Vancouver,Canada,0,0,57.7,76.6,6,2,5,3987.47,1,170,Quarter-final,11.58,1878.0,60.54,0.0384,0
5932,45,India,Asia,Low,2400,10508.6,Vancouver,Canada,0,0,37.2,55.3,1,2,2,1698.67,1,84,Group,8.3,433.95,-1.88,0.0148,0
5933,25,India,Asia,Low,2400,11015.8,Vancouver,Canada,0,0,68.2,64.0,2,3,1,2286.81,1,311,Group,9.46,684.35,49.6,0.0863,0
5934,61,Sweden,Europe,High,60000,5469.7,Boston,USA,0,1,68.8,96.8,4,4,0,1670.89,0,251,Semi-final,12.82,658.81,601.92,0.9331,1
5935,29,India,Asia,Low,2400,10567.3,Vancouver,Canada,0,0,43.5,41.3,1,0,2,3361.78,1,211,Group,10.49,1103.22,65.19,0.0686,0
5936,36,India,Asia,Low,2400,11683.8,Vancouver,Canada,0,0,21.8,22.6,1,0,0,2789.92,1,206,Group,12.98,794.71,2.6,0.0196,0
5937,31,Egypt,Africa,Low,4000,7612.0,Boston,USA,0,0,60.8,76.2,4,1,2,2005.08,1,327,Group,7.68,645.33,53.5,0.0948,0
5938,18,China,Asia,Medium,12500,9536.2,Vancouver,Canada,0,0,61.6,48.1,3,4,0,2414.0,1,321,Round of 16,8.38,656.67,188.16,0.2993,1
5939,59,China,Asia,Medium,12500,9867.0,Vancouver,Canada,1,0,72.3,70.8,4,7,2,2419.99,1,230,Group,9.17,849.17,187.5,0.2316,0
5940,55,China,Asia,Medium,12500,9753.6,Vancouver,Canada,1,0,65.5,79.4,2,2,3,2012.75,1,292,Round of 16,11.66,940.03,427.62,0.4673,1
5941,37,India,Asia,Low,2400,11152.4,Vancouver,Canada,0,0,39.2,67.5,0,0,0,2525.5,1,300,Round of 32,13.4,867.74,21.14,0.0398,1
5942,31,China,Asia,Medium,12500,9286.0,Vancouver,Canada,0,0,60.8,78.0,2,2,0,2215.12,1,143,Round of 16,5.52,967.24,248.19,0.2623,0
5943,73,United States,North America,High,76330,385.3,Kansas City,USA,1,0,45.6,78.3,1,1,1,150.0,0,354,Quarter-final,5.05,68.45,46.19,0.7486,1
5944,25,India,Asia,Low,2400,11802.9,Vancouver,Canada,0,1,33.9,26.6,3,1,2,3539.75,1,317,Final,10.48,2109.0,142.21,0.0724,0
5945,69,India,Asia,Low,2400,10533.8,Vancouver,Canada,0,1,56.6,41.5,4,0,0,3166.89,1,296,Final,8.62,1202.91,221.14,0.191,0
5946,25,India,Asia,Low,2400,13236.8,Vancouver,Canada,0,0,50.9,58.1,1,0,2,3586.27,1,301,Group,11.31,1156.57,10.2,0.0186,0
5947,71,United States,North America,High,76330,322.8,Kansas City,USA,1,0,85.5,82.0,1,7,0,150.0,0,69,Group,5.63,42.32,35.81,0.9793,1
5948,78,Brazil,South America,Medium,8900,5177.7,Miami,USA,1,0,89.4,62.0,3,2,2,1317.44,1,81,Group,6.43,429.57,203.93,0.4897,1
5949,50,Croatia,Europe,Medium,18500,5489.1,Boston,USA,0,0,94.1,80.7,4,1,1,1713.46,0,115,Round of 16,7.11,640.33,470.19,0.7454,0
5950,71,China,Asia,Medium,12500,9568.2,Vancouver,Canada,0,0,62.3,42.1,1,0,2,1954.03,1,287,Quarter-final,6.93,972.27,356.89,0.3742,1
5951,67,India,Asia,Low,2400,12037.5,Vancouver,Canada,0,0,82.6,100.0,2,3,1,2867.25,1,295,Group,9.89,588.54,76.27,0.1464,0
5952,57,India,Asia,Low,2400,11151.9,Vancouver,Canada,0,1,74.5,67.1,4,4,1,2783.62,1,215,Group,8.55,717.51,137.61,0.2037,0
5953,49,China,Asia,Medium,12500,9803.0,Vancouver,Canada,1,0,73.1,64.6,4,1,2,2286.53,1,290,Group,6.31,420.09,53.17,0.1416,0
5954,73,India,Asia,Low,2400,11821.8,Vancouver,Canada,0,0,73.5,63.2,3,4,1,3781.78,1,387,Semi-final,8.47,1050.44,186.81,0.1859,0
5955,63,India,Asia,Low,2400,13190.5,Vancouver,Canada,0,0,43.2,63.2,2,2,2,2725.92,1,275,Group,7.14,924.55,1.09,0.0089,0
5956,66,India,Asia,Low,2400,11484.6,Vancouver,Canada,0,0,16.1,0.0,2,0,0,2544.08,1,39,Group,12.83,587.95,8.57,0.0364,0
5957,73,India,Asia,Low,2400,11669.9,Vancouver,Canada,0,1,59.5,70.7,3,2,0,3304.01,1,131,Round of 16,9.25,1420.92,478.84,0.3435,1
5958,79,Mexico,North America,Medium,10700,310.6,Monterrey,Mexico,1,1,100.0,100.0,3,2,1,150.0,0,166,Final,5.83,81.26,73.63,0.9778,1
5959,36,India,Asia,Low,2400,11071.8,Vancouver,Canada,0,0,31.0,32.8,2,2,0,1976.93,1,46,Group,12.9,402.37,0.14,0.0324,0
5960,63,India,Asia,Low,2400,12417.4,Vancouver,Canada,0,0,70.6,52.4,3,6,2,3010.93,1,70,Round of 32,8.45,1174.86,37.25,0.0389,0
5961,35,United States,North America,High,76330,408.2,Kansas City,USA,1,0,88.6,80.9,4,3,1,150.0,0,333,Group,9.23,44.73,29.5,0.8658,0
5962,55,Japan,Asia,High,40000,8653.2,Vancouver,Canada,1,1,96.0,100.0,5,3,1,1842.52,0,308,Group,10.64,529.7,306.01,0.5978,1
5963,67,Nigeria,Africa,Low,2100,7236.1,Boston,USA,0,0,73.6,77.5,1,3,0,2314.74,1,359,Group,10.39,453.41,85.55,0.2116,0
5964,34,China,Asia,Medium,12500,7909.8,Vancouver,Canada,1,0,69.6,68.6,4,1,4,1772.51,1,87,Group,5.71,563.27,205.74,0.3754,0
5965,40,China,Asia,Medium,12500,9950.0,Vancouver,Canada,1,0,79.6,47.8,1,3,0,3331.21,1,295,Round of 32,11.17,578.0,53.97,0.1127,0
5966,40,China,Asia,Medium,12500,9329.2,Vancouver,Canada,1,0,94.8,98.3,4,1,3,1899.88,1,129,Quarter-final,7.22,898.1,373.13,0.4235,0
5967,50,China,Asia,Medium,12500,9592.9,Vancouver,Canada,0,0,45.0,29.5,4,0,0,2583.4,1,185,Round of 16,11.9,718.18,170.37,0.2538,0
5968,36,India,Asia,Low,2400,11911.8,Vancouver,Canada,0,0,24.2,28.8,2,1,0,3052.62,1,90,Round of 16,12.13,1319.74,2.26,0.0109,0
5969,69,United States,North America,High,76330,309.0,Kansas City,USA,1,1,100.0,100.0,7,2,1,150.0,0,128,Group,11.15,51.0,37.21,0.9482,1
5970,52,India,Asia,Low,2400,11783.9,Vancouver,Canada,0,0,83.3,77.1,2,4,4,3575.18,1,36,Quarter-final,12.15,1620.96,327.6,0.2096,0
5971,48,China,Asia,Medium,12500,10098.8,Vancouver,Canada,1,0,69.6,62.0,0,2,4,1927.02,1,101,Round of 32,10.17,789.8,67.15,0.0979,0
5972,69,China,Asia,Medium,12500,10060.2,Vancouver,Canada,0,0,51.2,80.9,3,2,1,2481.39,1,100,Group,11.85,895.26,76.33,0.0985,0
5973,40,China,Asia,Medium,12500,8622.5,Vancouver,Canada,0,0,55.2,62.0,3,1,2,2451.59,1,59,Final,9.49,1432.91,264.2,0.191,0
5974,30,India,Asia,Low,2400,12008.3,Vancouver,Canada,0,0,52.6,57.3,1,2,0,2490.64,1,272,Quarter-final,7.98,1191.5,68.51,0.0642,0
5975,42,China,Asia,Medium,12500,10116.3,Vancouver,Canada,0,1,71.1,47.7,5,0,1,2467.15,1,84,Group,13.25,638.93,318.8,0.5197,1
5976,43,Italy,Europe,High,36500,7204.0,Boston,USA,1,0,90.8,67.5,0,2,2,1811.27,0,180,Group,6.11,591.13,343.13,0.5908,0
5977,19,China,Asia,Medium,12500,9678.5,Vancouver,Canada,1,1,88.1,56.7,3,2,2,2312.09,1,307,Group,9.23,753.97,417.06,0.5654,1
5978,38,India,Asia,Low,2400,11901.1,Vancouver,Canada,0,0,71.1,77.8,2,2,1,2978.1,1,223,Quarter-final,7.32,1116.91,72.99,0.0719,0
5979,76,China,Asia,Medium,12500,9215.9,Vancouver,Canada,0,0,63.3,71.0,1,2,2,2178.33,1,229,Round of 16,9.84,951.13,212.72,0.234,0
5980,69,India,Asia,Low,2400,9821.1,Vancouver,Canada,0,0,22.1,1.7,0,2,1,2417.84,1,70,Group,10.38,553.44,13.03,0.0423,0
5981,49,India,Asia,Low,2400,12500.8,Vancouver,Canada,0,0,24.9,25.7,4,0,0,2638.58,1,29,Group,10.04,888.65,4.09,0.0159,0
5982,27,Japan,Asia,High,40000,7077.9,Vancouver,Canada,1,1,64.3,65.7,2,0,3,1588.73,0,62,Group,12.26,292.35,161.22,0.5934,0
5983,60,England,Europe,High,46500,4747.6,Boston,USA,1,0,100.0,82.0,2,4,5,1408.69,0,62,Round of 16,6.48,538.83,510.53,0.9595,1
5984,78,India,Asia,Low,2400,12054.2,Vancouver,Canada,0,0,55.0,34.1,1,1,0,2861.58,1,119,Round of 16,13.06,1151.3,20.1,0.0288,0
5985,18,China,Asia,Medium,12500,11442.9,Vancouver,Canada,0,0,76.1,46.7,3,3,6,3241.12,1,95,Group,11.49,833.23,123.08,0.1615,1
5986,34,India,Asia,Low,2400,11836.2,Vancouver,Canada,0,0,82.7,81.5,1,2,0,3742.47,1,121,Quarter-final,9.57,972.98,53.58,0.0649,0
5987,45,India,Asia,Low,2400,10601.0,Vancouver,Canada,0,0,74.8,89.8,2,3,2,2043.2,1,120,Round of 32,7.36,551.15,77.08,0.1532,0
5988,61,China,Asia,Medium,12500,7918.0,Vancouver,Canada,1,1,66.2,75.8,3,5,3,1926.23,1,181,Round of 32,9.45,509.15,198.49,0.4084,0
5989,44,Australia,Oceania,High,62000,12605.1,San Francisco,USA,1,0,73.2,68.3,2,0,1,1909.41,0,22,Group,10.94,636.23,219.82,0.3627,1
5990,70,Nigeria,Africa,Low,2100,8859.3,Boston,USA,0,0,100.0,100.0,4,1,6,1785.39,1,268,Group,10.47,386.8,71.38,0.2116,0
5991,41,China,Asia,Medium,12500,8702.0,Vancouver,Canada,0,1,44.8,80.2,1,1,0,2136.04,1,257,Round of 32,5.94,817.5,103.93,0.1344,0
5992,33,China,Asia,Medium,12500,9580.7,Vancouver,Canada,0,0,94.4,94.4,2,4,0,1865.92,1,128,Group,10.17,433.44,169.75,0.4151,0
5993,65,China,Asia,Medium,12500,9034.1,Vancouver,Canada,0,0,73.1,87.9,3,1,1,2462.25,1,247,Round of 32,9.71,816.3,158.69,0.2063,0
5994,21,Brazil,South America,Medium,8900,5403.2,Miami,USA,1,1,100.0,100.0,2,2,1,1428.18,1,262,Round of 16,7.35,580.21,533.46,0.9321,1
5995,70,China,Asia,Medium,12500,8615.8,Vancouver,Canada,0,0,57.2,71.4,6,1,2,1833.47,1,129,Group,10.69,575.01,13.63,0.0423,0
5996,68,Nigeria,Africa,Low,2100,9312.6,Boston,USA,0,1,66.5,51.5,3,4,2,2622.24,1,56,Group,11.16,778.93,159.04,0.2185,0
5997,32,England,Europe,High,46500,5482.6,Boston,USA,1,0,67.9,16.8,5,2,0,1503.28,0,29,Group,5.2,452.51,303.28,0.6817,1
5998,25,India,Asia,Low,2400,14485.2,Vancouver,Canada,0,0,56.6,67.4,2,1,1,3250.42,1,296,Group,10.47,1133.04,18.2,0.0253,0
5999,71,China,Asia,Medium,12500,10825.7,Vancouver,Canada,0,0,85.6,60.7,6,3,0,2318.56,1,171,Group,6.49,552.15,71.58,0.1414,0
6000,72,Uruguay,South America,Medium,17000,7308.2,Miami,USA,1,0,84.5,94.0,1,3,5,1833.19,1,33,Round of 16,8.47,675.53,280.52,0.4278,0
6001,54,China,Asia,Medium,12500,9385.7,Vancouver,Canada,0,0,61.8,43.5,1,3,1,2545.87,1,322,Round of 32,5.68,1017.93,255.62,0.2567,0
6002,26,Morocco,Africa,Low,3800,5761.9,Boston,USA,1,0,91.4,89.7,3,1,5,1547.56,1,327,Round of 32,6.52,633.37,363.24,0.5838,0
6003,22,Japan,Asia,High,40000,7708.1,Vancouver,Canada,1,0,82.8,71.8,6,5,1,1922.22,0,276,Round of 32,7.38,735.26,417.82,0.5783,0
6004,62,Nigeria,Africa,Low,2100,8408.7,Boston,USA,0,0,79.0,63.5,8,2,2,2257.86,1,276,Round of 16,6.61,872.19,381.69,0.4452,1
6005,38,China,Asia,Medium,12500,10345.5,Vancouver,Canada,0,0,49.6,33.6,2,0,0,2234.43,1,144,Group,6.32,524.55,59.51,0.1255,0
6006,60,Nigeria,Africa,Low,2100,8035.6,Boston,USA,1,1,70.5,73.3,5,4,2,2004.31,1,49,Round of 32,7.24,675.32,209.06,0.3203,0
6007,57,Nigeria,Africa,Low,2100,7856.5,Boston,USA,0,0,99.9,92.5,6,2,4,1372.8,1,322,Round of 32,7.23,490.6,171.3,0.3639,0
6008,58,China,Asia,Medium,12500,9671.4,Vancouver,Canada,0,0,74.3,51.7,4,3,0,2209.15,1,72,Round of 16,9.99,646.08,96.23,0.1644,0
6009,58,India,Asia,Low,2400,13318.2,Vancouver,Canada,0,0,41.1,13.1,1,1,2,3842.89,1,377,Semi-final,10.71,2111.98,85.39,0.0455,0
6010,79,India,Asia,Low,2400,10025.3,Vancouver,Canada,0,1,58.1,59.4,0,1,2,2483.81,1,63,Group,11.47,832.45,69.78,0.0976,0
6011,64,China,Asia,Medium,12500,10158.9,Vancouver,Canada,0,0,63.4,55.2,2,2,1,1638.15,1,147,Group,10.76,456.14,99.35,0.2414,1
6012,39,Spain,Europe,High,31000,5051.9,Boston,USA,1,0,98.7,46.4,8,2,2,1383.97,0,52,Group,12.75,368.77,291.93,0.8262,0
6013,65,China,Asia,Medium,12500,10493.6,Vancouver,Canada,0,1,65.0,100.0,1,2,1,1878.42,1,336,Group,6.15,551.96,204.42,0.3815,1
6014,33,Mexico,North America,Medium,10700,357.2,Monterrey,Mexico,1,1,80.1,86.7,3,2,2,150.0,0,245,Round of 32,12.08,42.24,25.17,0.8818,0
6015,24,India,Asia,Low,2400,11524.6,Vancouver,Canada,0,0,89.9,100.0,3,1,0,2593.89,1,279,Round of 16,6.86,1271.96,101.26,0.085,0
6016,57,Nigeria,Africa,Low,2100,7896.8,Boston,USA,0,0,89.7,100.0,4,1,0,1916.42,1,154,Group,6.18,590.67,80.06,0.146,0
6017,25,Japan,Asia,High,40000,7998.5,Vancouver,Canada,1,0,75.5,69.5,2,1,0,2543.13,0,239,Quarter-final,11.34,1017.19,733.65,0.7324,1
6018,21,China,Asia,Medium,12500,10416.9,Vancouver,Canada,1,0,56.9,57.7,3,2,1,2766.4,1,178,Group,8.75,875.27,100.05,0.1243,0
6019,58,Japan,Asia,High,40000,6981.6,Vancouver,Canada,1,1,100.0,100.0,4,5,3,1672.0,0,68,Round of 32,6.9,424.86,385.33,0.9232,0
6020,22,China,Asia,Medium,12500,8909.8,Vancouver,Canada,0,0,70.7,80.0,4,3,2,2447.26,1,195,Group,12.26,629.19,31.15,0.069,0
6021,25,China,Asia,Medium,12500,8314.6,Vancouver,Canada,0,0,92.3,96.5,4,2,8,1964.55,1,94,Group,11.28,505.58,169.46,0.3575,1
6022,22,Morocco,Africa,Low,3800,6221.6,Boston,USA,1,0,90.3,100.0,2,3,0,2265.61,1,339,Round of 32,9.77,736.63,407.9,0.567,1
6023,68,United States,North America,High,76330,355.1,Kansas City,USA,1,0,85.3,63.2,2,2,3,150.0,0,207,Round of 32,12.15,52.3,34.07,0.8838,1
6024,72,India,Asia,Low,2400,10815.1,Vancouver,Canada,0,0,38.9,37.9,4,6,1,2911.09,1,277,Group,9.86,820.02,55.99,0.0803,0
6025,29,India,Asia,Low,2400,13069.5,Vancouver,Canada,0,1,47.4,39.2,2,1,0,2437.93,1,52,Group,12.66,897.05,110.24,0.137,0
6026,66,Colombia,South America,Medium,6100,2356.4,Miami,USA,1,0,93.2,100.0,5,1,1,479.1,1,13,Round of 32,10.89,125.33,93.5,0.8329,1
6027,59,China,Asia,Medium,12500,10392.3,Vancouver,Canada,0,1,38.3,21.5,2,1,1,2666.4,1,75,Group,10.33,978.06,119.65,0.1329,0
6028,35,China,Asia,Medium,12500,9000.4,Vancouver,Canada,1,0,50.5,15.3,2,0,0,2008.44,1,62,Round of 16,7.76,814.83,268.39,0.3389,0
6029,44,Germany,Europe,High,51500,5781.4,Boston,USA,1,1,92.7,95.6,5,3,0,1190.31,0,320,Group,10.9,426.3,336.75,0.8155,1
6030,40,China,Asia,Medium,12500,7898.7,Vancouver,Canada,1,0,45.1,74.2,0,2,0,1393.9,1,267,Group,10.27,273.92,77.55,0.3206,1
